"SYMBOL 
","PRICE 
","QTY 
","PRICE 
","QTY 
","PRICE 
","QTY 
","PRICE 
","QTY 
","PRICE 
","QTY 
","PRICE 
","QTY 
","AVERAGE PRICE 
","TOTAL VOLUME 
","TOTAL TURNOVER 
 (₹ Crores)"
"PVP","29.35","4,567","29.35","9,187","29.35","5,113","29.35","6,312","29.35","12,953","29.35","3,806","29.35","41,938","0.12"
"TARAPUR","28.94","6,956","28.94","5,947","28.94","3,816","28.94","1,843","28.94","14,150","28.94","7,369","28.94","40,081","0.12"
"SEL","515.50","800","-","-","515.50","600","515.50","400","-","-","518.15","400","515.98","2,200","0.11"
"POSITRON","366.10","1,500","366.20","600","366.10","300","366.10","300","366.10","300","-","-","366.12","3,000","0.11"
"ALMONDZ","30.18","3,458","30.18","4,775","30.18","2,222","30.18","21,821","30.18","130","30.18","1,912","30.18","34,318","0.10"
"PIGL","232.19","1,115","232.19","727","232.19","53","232.19","708","232.19","47","232.19","1,727","232.19","4,377","0.10"
"BIRLAMONEY","157.45","1,532","157.45","1,510","157.45","454","157.45","2,287","157.45","359","157.45","233","157.45","6,375","0.10"
"SHAH","4.93","53,021","4.93","14,930","4.93","64,248","4.93","10,286","4.93","9,538","4.93","14,333","4.93","1,66,356","0.08"
"GOLDTECH","82.37","2,747","82.37","5,238","82.37","302","-","-","82.37","1,000","82.36","254","82.36","9,541","0.08"
"PULZ","90.30","6,000","-","-","-","-","-","-","90.30","2,000","-","-","90.30","8,000","0.07"
"SABTNL","1,408.25","141","1,408.25","31","1,408.25","14","1,408.25","40","1,408.25","10","1,408.25","256","1,408.25","492","0.07"
"PRUDMOULI","67.07","6,111","67.07","376","67.07","1,714","67.07","200","67.07","715","67.07","225","67.07","9,341","0.06"
"DONEAR","114.70","1,000","115.00","303","114.00","1,500","114.00","927","113.05","350","113.05","1,205","113.91","5,285","0.06"
"IL&FSENGG","47.01","26","47.01","1","47.01","11","-","-","-","-","47.01","12,021","47.01","12,059","0.06"
"AILIMITED","74.00","1,500","74.00","1,500","74.00","3,000","-","-","73.00","1,500","-","-","73.80","7,500","0.06"
"ABINFRA","92.95","2,000","92.60","2,000","-","-","91.15","2,000","-","-","-","-","92.23","6,000","0.06"
"KAVVERITEL","52.01","1,509","52.01","5,544","52.01","123","52.01","213","52.01","848","52.01","2,363","52.01","10,600","0.06"
"ABCOTS","-","-","-","-","365.00","500","-","-","-","-","362.20","1,000","363.13","1,500","0.05"
"INSPIRISYS","-","-","115.25","1,101","115.00","1,079","115.25","67","115.26","1,300","115.25","1,034","115.19","4,581","0.05"
"URAVI","-","-","-","-","-","-","-","-","-","-","481.00","1,001","481.00","1,001","0.05"
"SANGANI","79.00","3,000","-","-","-","-","-","-","78.85","3,000","-","-","78.92","6,000","0.05"
"ASHOKAMET","26.70","5,671","26.70","4,106","26.70","1,169","26.70","3,373","26.70","689","26.70","2,647","26.70","17,655","0.05"
"LASA","28.53","3,963","28.53","124","28.53","10,660","28.53","1,222","28.53","202","28.53","147","28.53","16,318","0.05"
"ENSER","299.75","500","-","-","299.75","500","-","-","-","-","299.75","500","299.75","1,500","0.04"
"CEREBRAINT","10.55","9,228","10.55","13,792","10.55","4,181","10.55","5,310","10.56","4,000","10.55","4,623","10.55","41,134","0.04"
"LCCINFOTEC","10.03","21,352","10.03","7,373","10.03","4,157","10.03","1,408","10.03","3,318","10.03","4,116","10.03","41,724","0.04"
"SWARAJ","-","-","278.25","1,500","-","-","-","-","-","-","-","-","278.25","1,500","0.04"
"SOMICONVEY","153.80","890","153.80","160","153.79","350","153.80","146","154.00","223","156.00","700","154.44","2,469","0.04"
"LRRPL","102.30","3,000","-","-","-","-","-","-","-","-","-","-","102.30","3,000","0.03"
"ROLLT","2.61","24,390","2.62","3,501","2.62","3,350","2.62","4,672","2.62","75,638","2.62","114","2.61","1,11,665","0.03"
"OILCOUNTUB","53.21","2,139","53.21","1,388","53.21","900","53.21","300","53.21","36","53.21","644","53.21","5,407","0.03"
"ANTGRAPHIC","1.77","17,472","1.77","33,930","1.77","26,080","1.77","29,564","1.77","32,634","1.77","12,053","1.77","1,51,733","0.03"
"BLUECHIP","8.90","5,370","8.90","10,355","8.90","4,303","8.90","592","8.90","978","8.90","7,477","8.90","29,075","0.03"
"MBECL","3.90","2,000","3.90","15,378","3.90","4,691","3.86","2,904","3.86","1,968","3.78","31,710","3.83","58,651","0.02"
"RADAAN","3.78","14,049","3.78","11,504","3.78","17,865","3.78","2,277","3.78","10,093","3.78","3,296","3.78","59,084","0.02"
"DGCONTENT","42.92","2,227","42.92","490","42.92","720","42.92","60","42.92","427","42.92","747","42.92","4,671","0.02"
"SHEKHAWATI","39.11","1,110","40.45","2,225","40.45","192","40.45","509","40.45","598","40.45","286","40.14","4,920","0.02"
"RKDL","26.03","1,016","26.03","1,200","26.03","2,162","26.03","1,901","26.90","1,000","26.84","237","26.17","7,516","0.02"
"KONTOR","-","-","-","-","156.80","600","156.80","600","-","-","-","-","156.80","1,200","0.02"
"RILINFRA","54.90","600","54.45","1,300","54.45","700","54.45","100","54.45","600","54.45","100","54.52","3,400","0.02"
"IL&FSTRANS","5.15","6,711","5.16","2,000","5.16","500","5.24","20","5.24","3,615","5.20","19,155","5.19","32,001","0.02"
